brand,name,preference_base_note,preference_middle_note,satisfaction,buyer_gender,buyer_age,user_id
BENTLEY,Azure,Orcanox,Lavender,5,Women,39,275.0
Dolce & Gabbana,Intenso,Musk,ClarySage,3,Women,27,244.0
NARCISO RODRIGUEZ,Narciso Rodriguez,Patchouli,Musk,5,Women,37,214.0
CAROLINA HERRERA,212 VIP,Vanille,Musk,3,Women,21,336.0
Roberto Cavalli,Paradiso Azzuro,Amberwood,RoseTuberose,5,Women,25,283.0
Genie Collection,1029 Collection,Mahogany,Peony,3,Men,31,338.0
DORALL COLLECTION,Love You Like Crazy,Patchouli,jasmine,4,Women,32,328.0
Emper,Tool Box,Amber,Patchouli,4,Women,30,243.0
Ferrari,Scuderia Red,Moss,Jasmine,3,Men,32,51.0
Roberto Cavalli,Florence,Musk,OrangeBlossom,4,Men,25,81.0
HUGO BOSS,The Scent,WoodyNotes,Maninka,3,Men,38,370.0
J.CASANOVA,Pandora,Musk,Jasmine,3,Women,36,33.0
Sedr Al-Khaleej Perfumes,For Ever,Amber,Cinnamon,4,Women,29,162.0
Kenzo,World Intense,Vanilla,Jasmine,4,Men,30,103.0
LANVIN,L'Homme,musk,sage,3,Women,29,293.0
Gres,Cabotine De Gres,Musk,Tubereuse,5,Women,29,287.0
Marbert,Man Pure,Amber,LilyOfTheValley,5,Women,29,195.0
PACO RABANNE,1 Million Lucky,Patchouli,CedarWood,4,Men,26,71.0
Ajmal,Alf Laila O Laila,MuskyWoody,FloralSpicy,5,Men,29,291.0
Lattafa,Pure Oudi Liquid Gold,EffervescentCitrus.,BlackCurrant,3,Women,37,290.0
HUGO BOSS,XX,Amber,Jasmine,5,Men,31,377.0
HUGO BOSS,Boss The Scent,Leather,Lavender,3,Men,37,94.0
Kenneth Cole,Black,Suede,Lotus,3,Women,32,364.0
Shirley May,Darknet Pour Homme,Musk,Cardamom,3,Men,21,174.0
LACOSTE,Eau de Lacoste L. 12.12 Noir,DarkChocolate,Verbena,4,Women,32,89.0
PACO RABANNE,Lady Million,Amber,Gardenia,5,Women,29,277.0
JAGUAR,Classic Blue,WhiteMusk,Lotus,5,Women,36,233.0
HUGO BOSS,Femme,LemonTree,Lily,3,Men,39,399.0
DORALL COLLECTION,Green Secret,Sandalwood,Jasmine,4,Women,32,49.0
GIORGIO ARMANI,Eau Pour Homme Reno 2013,Patchouli,Nutmeg,3,Women,27,247.0
LACOSTE,Challenge,Nutmeg,Amber,4,Women,25,342.0
BENTLEY,Momentum Intense,AmberWood,Geranium,5,Men,22,131.0
LACOSTE,L.12.12 Blanc-Pure,Vetiver,Ylang-Ylang,3,Women,36,366.0
S.T.Dupont,Essence Pure,Cypress,Lavender,4,Women,27,143.0
cacharel,Noa,Woodsytransparentwithcoffee,Whiteflowers,4,Men,29,399.0
Rasasi,Emotion,Cedar,Jasmin,3,Men,40,293.0
CHLOE,Chloe,Amber,Lily-of-the-valley,3,Men,32,5.0
Estee Lauder,White Linen,Amber,Iris,5,Men,40,79.0
VERSACE,Versace Pour Homme,TonkaBeans,ClarySage,4,Women,24,221.0
HUGO BOSS,Boss,Sandalwood,Geranium,5,Men,29,170.0
Mancera,Red Tobacco,Vetiver,Jasmine,3,Men,28,2.0
BURBERRY,Burberry Body,WoodyCashmeran,NaturalRoseAbsolute,3,Men,20,290.0
Gres,Cabotine,Vanilla,Heliotrope,3,Men,39,365.0
joop,Homme,sandalwood,heliotrope,5,Women,32,110.0
Dunhill,Custom,Incense,Pepper,4,Men,30,10.0
Milton Lloyd,Hawaii London,Musk,Rose,4,Women,37,147.0
VERSACE,Versace Pour Homme,Amber,BlueHyacinth,3,Women,37,301.0
Rasasi,Blue Lady,Musk,Plum,5,Men,21,146.0
Calvin Klein,Euphoria Intense,CashmereWoods,Vetiver,5,Women,28,180.0
Armaf,Club De Nuit Intense,Musk,Rose,3,Women,32,315.0
Dolce & Gabbana,L'imperatrice 3,Musks,Cyclamen,5,Women,20,295.0
Dunhill,London,Patchouli,Jasmine,5,Women,22,171.0
BURBERRY,My Blush,Jasmine,GreenApple,4,Men,32,84.0
BURBERRY,London,Musk,ClementineZest,3,Men,36,224.0
TESORI D´ORIENTE,White Musk,Jasmine,Rose,4,Women,28,44.0
PACO RABANNE,Ultraviolet,Ambergris,ChineseOsmanthus,4,Women,27,389.0
Jimmy Choo,Man Ice,ambroxan,patchouli,3,Men,26,397.0
Guerlain,Idylle,Sandalwood,YlangYlang,5,Women,31,394.0
GUCCI,Memoire  D'une Odeur EDP For Uni,Vanilla,JasminePetals,4,Women,38,9.0
AIGNER,Starlight,Patchouli,Strawberries,4,Women,26,173.0
Elizabeth Arden,Green Tea,Musk,Musk,3,Women,22,108.0
COACH,Coach,Suede,TurkishRose,5,Men,28,362.0
Calvin Klein,CKIN2U,Vetiver,CacaoPod,3,Men,29,311.0
BURBERRY,Body,Vanille,Rose,4,Women,25,201.0
ESCADA,Magnetism,Patchouli,Caraway,4,Women,31,287.0
BURBERRY,My Burberry Blush,Jasmine,Greenapple,5,Men,39,317.0
BVLGARI,Omnia Crystalline,Musks,LotusFlower,4,Women,24,206.0
MONTBLANC,Starwalker,FirResin,Cedar,4,Women,23,298.0
HUGO BOSS,Bottled Unlimited,Sandalwood,Pineapple,5,Women,27,131.0
GUCCI,Bloom Aqua Di Fiori,Jasmine,Tuberose,3,Men,23,210.0
MONTBLANC,Emblem,WoodyNotes,VioletLeaf,4,Women,23,169.0
Lattafa,Oud Mood,Incense,Caramel,3,Men,34,197.0
DIESEL,Plus Plus Masculine,OakMoss,Sage,4,Women,28,164.0
Bill Blass,Nude Natural Spray Colo,Vetiver,Oakmoss,4,Women,25,199.0
HUGO BOSS,Hugo Boss,Cedar,Sage,4,Women,21,173.0
Aramis,900 Herbal Spray,Sandalwood,OrrisRoot,5,Women,37,196.0
LACOSTE,Eau De Lacoste,Vanilla,PineappleFlower,3,Women,21,169.0
TESORI D´ORIENTE,White Musk,WhiteFlowers,Rose,4,Women,26,324.0
Kenneth Cole,Black,Musk,ExoticWoods,3,Women,26,234.0
Ferrari,Scuderia Red,Sandalwood,Orris,5,Men,33,371.0
Sedr Al-Khaleej Perfumes,Love Touch,Musk,Rose,5,Women,25,182.0
Dunhill,Edition,Vetiver,Geranium,3,Women,40,76.0
Dolce & Gabbana,The One,Tobacco,Cardamom,4,Men,40,117.0
Calvin Klein,Reveal,Vetiver,Ambergris,4,Men,21,100.0
armani,Stronger With You Intensely,AmberyWoods,Vanilla,3,Women,21,171.0
BENTLEY,Intense,Cedar,Rum,4,Men,36,34.0
Rasasi,Relation,Vanilla,Lilac,3,Men,28,177.0
S.T.Dupont,Essence Pure,Musk,Lavender,4,Women,38,82.0
Lattafa,Musk Mood,Amber,FloralNotes,4,Women,30,171.0
Elizabeth Arden,Green Tea,CelerySeeds,Amber,3,Men,23,56.0
Rasasi,Romance,Powdery,Woody,4,Women,28,153.0
Calvin Klein,One Shock,Amber,Osmanthus,5,Men,32,8.0
DAVIDOFF,Hot Water,Benzoin,Pimento,3,Women,23,47.0
CHOPARD,Rose Malaki,Cedarwood,RosePetalAccord,4,Men,40,251.0
VERSACE,L'Homme,Vanilla,Sandalwood,3,Men,24,111.0
S.T.Dupont,Passenger,Benzoin,Ginger,5,Women,23,251.0
Estee Lauder,Modern Muse Chic,Suede,Tuberose,4,Women,31,48.0
BURBERRY,My Blush,Wisteria,RosePetals,5,Men,33,121.0
GIORGIO ARMANI,Stronger With You,GuaiacWood,Sage,4,Men,28,87.0
COACH,New York Platinum,Patchouli,AromaticAccords,5,Men,21,256.0
COACH,Floral,Musk,Gardenia,3,Men,23,40.0
JOVAN,Musk Cologne Sp,Wood,Ylang-ylang,4,Women,36,229.0
CHLOE,Chloe,Amber,Magnolia,3,Women,28,163.0
Lancome,Idol,WhiteMusk,TurkishRose,3,Men,37,73.0
VALENTINO,Valentina,Amber,AfricanOrangeFlower,4,Men,25,387.0
Alina Corel,Nice Girl,Musk,Jasmine,4,Women,35,165.0
S.T.Dupont,Passenger,WhiteMusk,Gardenia,4,Men,27,276.0
J.CASANOVA,Paris Vivaldi,Cedar,Orchid,3,Men,40,388.0
GUCCI,Guilty Pour Homme,VirginiaCedar,AfricanOrangeFlower,5,Men,31,184.0
Rasasi,Shuhrah,Agarwood,Cedar,4,Women,26,272.0
Shirley May,Darknet Pour Homme,Musk,Cinnamon,5,Men,23,390.0
Ferrari,Scuderia Red,Sandalwood,Geranium,5,Women,32,351.0
joop,Homme,Vanilla,lilyofthevalley,4,Men,27,86.0
KORLOFF,In White,Cashmeran,AfricanOrangeFlower,4,Men,21,304.0
Marbert,Marbert Man,Sandalwood,Cinnamon,3,Women,40,234.0
LACOSTE,Lacoste,WoodyNotes,Almond,5,Women,31,64.0
LALIQUE,Le'Parfum,TonkaBean,Jasmine,4,Women,31,325.0
Yves Saint Laurent,Black Opium,WhiteWood,JasmineTea,5,Women,39,384.0
Roberto Cavalli,Paradiso,Cypress,Jasmine,3,Women,28,280.0
MONTBLANC,Emblem Intense,Velvet,Apple,5,Women,24,364.0
TRUSSARDI,My Name,DryAmber,Musk,3,Men,21,331.0
J.CASANOVA,Plaisir,Amber,Musk,5,Men,28,98.0
Guerlain,Mon Bloom Of Rose,Rose,SambacJasmine,4,Men,34,333.0
Rasasi,Blue,Woody,Geranium,5,Men,38,319.0
Lattafa,Velvet Oud,Patchouli,Lily-Of-The-Valley,5,Men,32,332.0
Nikos,Sculpture Homme,benzoin,geranium,3,Women,31,176.0
TED LAPIDUS,Creation,Musk,Daffodil,5,Men,37,116.0
GIORGIO ARMANI,Armani Code,Leather,StarAnise,5,Men,25,372.0
BVLGARI,Petits Et Mamans,Iris,Chamomile,5,Women,32,269.0
BOUCHERON,Place Vendome,Cedar,CreamyHoney,5,Women,20,259.0
GUCCI,Flora,Patchouli,Plumeria,5,Women,33,376.0
LA PERLA,Divina,Woodynotes,Africanorange,5,Women,27,145.0
Nikos,Sculpture Homme,amber,rose,5,Men,32,57.0
UNITED COLORS OF BENETTON,Cold,Vetiver,Coriander,4,Women,37,109.0
CHOPARD,Happy Spirit,Musk,Osmanthus,5,Women,34,207.0
JAGUAR,Classic Black,VirginiaCedar,Geranium,3,Men,26,324.0
DORALL COLLECTION,Islanders,GuaiacWood,BayLeaf,5,Women,30,62.0
AZZARO,Visit,,Incense,3,Women,30,30.0
Ard Al Zaafaran,Oud Sharqia,SweetWood,Citric,4,Women,38,245.0
Estee Lauder,Knowing,Amber,OrangeFlower,3,Women,25,210.0
LA PERLA,Divina,Amber,Pink,5,Men,20,47.0
BVLGARI,Aqva Marine Pour Homme,Amber,Seaweed,3,Women,36,72.0
GIORGIO ARMANI,Because It's You,Vanilla,Rose,4,Women,25,233.0
NARCISO RODRIGUEZ,Narciso Rodriguez,Sandalwood,Musk,3,Women,34,195.0
MONTBLANC,Legend,Sandalwood,Coumarin,5,Men,32,88.0
JAGUAR,Classic Red,Vanilla,Jasmine,4,Men,27,233.0
PACO RABANNE,Lady Million,Amber,AfricanOrangeFlower,4,Men,24,195.0
HUGO BOSS,Hugo,Patchouli,Sage,5,Men,40,117.0
BURBERRY,London,Musk,TiareFlower,5,Women,23,2.0
Gres,Cabotine,TonkaBean,Freesia,4,Men,24,53.0
UNITED COLORS OF BENETTON,Hot,Musk,Iris,3,Women,40,275.0
UNITED COLORS OF BENETTON,Hot,Amber,Iris,5,Men,40,75.0
Sedr Al-Khaleej Perfumes,For Ever,Musk,Cardamom,5,Women,38,268.0
DORALL COLLECTION,Oud Maaruf,Sandalwood,saffron,4,Men,30,274.0
GUCCI,Bloom,RangoonCreeper,Tuberose,3,Men,34,41.0
VERSACE,L'Homme,Vanilla,Jasmine,3,Men,25,29.0
S.T.Dupont,Passenger,IndonesianPatchouli,IndianGinger,5,Women,29,218.0
Dior,Sauvage Perf,Olibanum,Sandalwood,5,Women,28,306.0
Niya,Prive Maison Sandalwood,Musk,Tuberose,4,Men,29,367.0
PACO RABANNE,Invictus Intense,Amber,Whiskey,3,Women,21,224.0
Yves Saint Laurent,Libre,Amber,Lavender,5,Women,25,371.0
DIESEL,Plus Plus Masculine,TonkaBean,Cardamom,4,Men,34,257.0
CHANEL,Bleu De Chanel,WhiteMusk,Jasmine,3,Men,25,339.0
Mancera,Rose Greedy,Vanilla,Jasmine,3,Women,31,25.0
NINA RICCI,Premier Jour,Vanilla,Orchid,3,Women,33,286.0
TRUSSARDI,My Name,Vanilla,Lilac,4,Men,23,91.0
Roberto Cavalli,Nero Assoluto,WoodsyNotes,Vanilla,3,Men,40,388.0
Dunhill,Custom,Incense,Pepper,4,Men,21,100.0
HUGO BOSS,Boss,Cedarwood,Cinnamon,5,Men,25,236.0
VERSACE,Eros,Sandalwood,JasmineSambac,5,Men,39,246.0
MONTALE,Roses Musk,Musk,Jasmine,3,Men,37,169.0
PACO RABANNE,One Million,Leather,Cinnamon,3,Men,21,3.0
HUGO BOSS,The Scent,Cacao,Osmanthus,4,Men,22,8.0
Alina Corel,Monsieur Coco Vanilla,WoodyNotes,Ylang-Ylang,5,Women,30,353.0
HUGO BOSS,Ma Vie,Cedar,Rose,5,Men,30,85.0
DAVIDOFF,The Game,EbonyWood,WoodyNotes,3,Men,37,159.0
Calvin Klein,Reveal,HaitianVetiver,Kiwano,3,Women,24,263.0
CAROLINA HERRERA,212 Sexy,Sandalwood,SpicySensuality-GreenPepper,3,Women,34,8.0
Rasasi,Shuhrah,GreyAmber,Iris,5,Women,27,31.0
Calvin Klein,CK Be,Oakmoss,GreenGrass,5,Women,21,23.0
Ajmal,Sacrifice,Musky,Musky,3,Women,21,70.0
NINA RICCI,Premier Jour,Sandalwood,Gardenia,3,Women,24,177.0
Guerlain,Mon Bloom Of Rose,Rose,SambacJasmine,3,Women,20,98.0
AIGNER,Debut,WhiteMusk,SunflowerSeed,5,Men,24,57.0
VERSACE,Eros,Ambroxan,LemonBlossom,4,Women,34,66.0
MONTBLANC,Lady Emblem Elixir,Patchouli,Iris,5,Men,32,81.0
HUGO BOSS,Natural Spray,LemonTree,Jasmine,3,Men,20,308.0
GIORGIO ARMANI,Stronger With You,Amberwood,Sage,5,Men,35,297.0
Mancera,Cedrat Boise,WoodyNotes,PatchouliLeaves,4,Women,40,96.0
Genie Collection,8839 Collection,Mahogany,LotusBlossom,3,Women,35,168.0
Dolce & Gabbana,3 L'Imperatrice,Musk,Cyclamen,4,Women,26,128.0
Dunhill,London,Vanilla,Geranium,5,Men,26,287.0
Roberto Cavalli,cavalli,TonkaBean,AfricanOrangeFlower,5,Women,38,276.0
Genie Collection,1029 Collection,Mahogany,Peony,3,Women,25,395.0
GUESS,Seductive,CashmereWood,AfricanOrangeFlower,3,Women,35,288.0
Mandarina Duck,Black,Patchouli,Tuberose,4,Men,32,375.0
GUESS,Dare,CoconutAccords,WildRose,3,Women,29,80.0
ESCADA,Magnetism,Sandalwood,Magnolia,4,Women,34,378.0
Roberto Cavalli,Just Cavalli,Leather,Vetiver,5,Men,32,213.0
VERSACE,Dylan Blue,Frankincense,VioletLeaves,5,Men,37,99.0
DKNY,Be Delicious,Woods,Tuberose,5,Women,21,88.0
BURBERRY,London,Musk,Peony,4,Men,27,13.0
BURBERRY,Mr.Burberry,GuaiacWood,NutmegOil,4,Women,28,171.0
HUGO BOSS,Boss Bottled Man Of Today,Musk-like-notes,Geranium,3,Men,34,176.0
UNITED COLORS OF BENETTON,Hot,Amber,Apricot,5,Women,27,394.0
Mariah Carey,Forever,Musk,Gardenia,3,Men,31,371.0
TESORI D´ORIENTE,Orchidea della Cina,Praline,TiareFlower,5,Men,36,188.0
TRUSSARDI,Extreme,Patchouli,DarkPlum,5,Men,38,141.0
ARMAND BASI,In Red,Amber,Jasmine,5,Women,37,389.0
Calvin Klein,CK One,GreenTea,,5,Men,37,228.0
LACOSTE,L.12.12 Blanc-Pure,Suede,Tuberose,3,Women,21,225.0
AZZARO,Chrome,BrazilianRosewood,Cyclamen,5,Women,29,253.0
GIORGIO ARMANI,Eau Pour Homme Reno 2013,Patchouli,Cloves,3,Men,38,139.0
Calvin Klein,Beauty,Cedarwood,Jasmine,4,Men,29,178.0
BVLGARI,Goldea,Musk,Musk,3,Women,23,220.0
Roberto Cavalli,Nero Assoluto,WoodsyNotes,Vanilla,4,Women,22,400.0
TED LAPIDUS,Pour Homme,cedar,petitgrain,3,Men,29,237.0
Elizabeth Arden,Red Door,Vetiver,Wildviolet,5,Women,33,122.0
NINA RICCI,Mademoiselle Ricci,WhiteWood,NeriumOleander,4,Women,26,293.0
Guerlain,Ideal,Cedar,Almond,4,Women,33,286.0
MONTBLANC,Emblem ED,Woodsy,Cinnamon,4,Women,24,116.0
JOVAN,Musk Cologne Sp,Wood,Ylang-ylang,3,Women,35,29.0
LACOSTE,Eau de Lacoste L. 12.12 Noir,Patchouli,Basil,4,Women,24,217.0
Sedr Al-Khaleej Perfumes,Moon Light,Cinnamon,Orris,3,Men,23,132.0
CARON,Pour Un Homme De Caron,Musk,Vanilla,4,Men,22,369.0
Jean Paul GAULTIER,Scandal,Licorice,Honey,4,Women,34,101.0
DORALL COLLECTION,Islanders,Oakmoss,Jasmine,3,Men,26,110.0
Genie Collection,Premium,Amber,Tuberose,5,Women,38,4.0
BVLGARI,Man in Black,GuaiacWood,Tuberose,4,Men,27,93.0
LACOSTE,EDTTouch Of Pink For Wom,Woody,,4,Men,21,167.0
Ajmal,Sacrifice,Woody,Musky,3,Men,25,25.0
GUESS,Dare,Musk,ElegantJasmine,5,Women,36,169.0
DORALL COLLECTION,DC Marine Noir,Incense,Rosemary,3,Men,24,171.0
Ajmal,Alf Laila O Laila,MuskyWoody,FloralSpicy,3,Women,30,85.0
DAVIDOFF,Cool Water,Oakmoss,Geranium,3,Women,23,295.0
S.T.Dupont,Essence Pure,Cedar,Bamboo,5,Women,26,286.0
Dolce & Gabbana,K,JuniperBerries,Lavandin,4,Women,28,92.0
Genie Collection,London Burberry,Musk,TiareFlower,4,Men,40,316.0
S.T.Dupont,Passenger,CopperAccords,GuatemalanCardamom,5,Women,31,399.0
CHLOE,Love Story,Cashmirwood,Stephanotis,5,Men,31,284.0
BURBERRY,Mr. Burberry,Sandalwood,Lavender,4,Women,39,248.0
GUCCI,Guilty Absolute,WoodyNotes,Patchouli,3,Men,30,209.0
LALIQUE,Encre Noire,Musk,Haitian,4,Men,23,155.0
Calvin Klein,CK One,Cedar,Rose,3,Women,32,135.0
Al Fakhr,Ameer Al Oud Khususi,Sandalwood,BlackPepper,3,Women,27,69.0
COACH,New York,SuedeMuskSandalwoodCashmeran,TurkishRoseGardeniaCyclamen,3,Men,26,316.0
DKNY,Be Delicious Red,Amber,Apple,3,Men,26,114.0
Van Cleef & Arpels,First,Civet,Orchid,4,Men,34,34.0
HUGO BOSS,The Scent,RoastedCocoa,Lavender,3,Women,22,215.0
AIGNER,Starlight,Sandalwood,Strawberries,3,Men,26,82.0
Yves Saint Laurent,La Nuit De L'Homme L'Intense,Patchouli,Sage,5,Men,36,203.0
Rasasi,Shuhrah,GreyAmber,Jasmine,4,Men,23,132.0
GUCCI,Flora,Sandalwood,Osmanthus,3,Men,26,252.0
PACO RABANNE,Million,Patchouli,OrangeFlowerAbsolute,3,Women,25,209.0
CAROLINA HERRERA,212 S**Y,CottonCandy,Pelargonium,4,Women,25,24.0
VALENTINO,Valentina,VirginiaCedar,AfricanOrangeFlower,4,Men,20,41.0
Yves Saint Laurent,Kouros Silver,Amber,Sage,3,Men,20,360.0
Sedr Al-Khaleej Perfumes,Eghra Perfume,Jasmine,Fruity,3,Men,31,141.0
JAGUAR,Classic Blue,Sandalwood,Lotus,4,Men,28,264.0
Nikos,Sculpture Homme,cedar,rose,3,Men,21,4.0
GIORGIO ARMANI,Si Fiori,WhiteMusk,Rose,4,Women,28,45.0
NARCISO RODRIGUEZ,Narciso Rodriguez For Her,Vanilla,EgyptianMusk,4,Women,26,266.0
DORALL COLLECTION,Lancy,Tonka,OrangeBlossom,3,Women,28,138.0
VERSACE,Versace,Musk,LebaneseBlueCedar,5,Women,36,92.0
Calvin Klein,Eternity,BrazilianRosewood,Coriander,5,Women,24,8.0
Genie Collection,London Burberry,Musk,SoftPeony,4,Women,39,398.0
Alina Corel,For Ever,Benzoin,Ginger,5,Men,29,194.0
HUGO BOSS,Bottled Tonic,WoodsyNotes,Ginger,4,Women,32,84.0
Jean Paul GAULTIER,Scandal,Caramel,Honey,3,Men,30,333.0
Dolce & Gabbana,Light Blue,Incense,Jasmine,5,Women,22,41.0
HUGO BOSS,Nuit,CrystalMoss,Violet,5,Men,25,117.0
TRUSSARDI,My Land,TonkaBean,Calone,4,Women,21,323.0
DORALL COLLECTION,Oud Arabi,musk,rose,3,Men,21,230.0
DORALL COLLECTION,Scholar,Moss,Jasmine,4,Men,30,88.0
Dolce & Gabbana,Pour Femme,Heliotrope,Jasmine,5,Women,37,117.0
Dolce & Gabbana,3 L'Imperatrice,LemonTree,Watermelon,3,Men,39,23.0
DORALL COLLECTION,Classic Black,Patchouli,Basil,4,Women,39,204.0
BURBERRY,My Burberry Blush,Jasmine,Geranium,5,Women,34,327.0
Aramis,900 Herbal Spray,OakmossVetiver,RoseGeranium,5,Women,20,147.0
Calvin Klein,Euphoria,CreamAccords,BlackOrchid,4,Women,24,389.0
LACOSTE,L.12.12 Blanc,Suede,MexicanTuberose,3,Men,27,329.0
HUGO BOSS,The Scent,Cacao,Osmanthus,5,Women,36,130.0
GUCCI,Guilty Absolute,Patchouli,Vetiver,5,Women,21,151.0
DORALL COLLECTION,24 Pure,Vanilla,Nutmeg,4,Women,21,278.0
DORALL COLLECTION,Pink Hearts,Musk,CottonCandy,4,Women,40,151.0
ELIE SAAB,Royal,Amber,BulgarianRoseAbsolute,5,Women,39,93.0
Elizabeth Arden,Red Door,Vetiver,Orangeblossom,3,Men,35,97.0
BVLGARI,Goldea,Papyrus,Jasmine,4,Women,38,87.0
Dolce & Gabbana,The Only One 2,Ambergris,Coffee,3,Men,32,94.0
Roberto Cavalli,Uomo,Cedar,Lavender,3,Men,37,118.0
Shirley May,Black Car,Amber,Cedar,5,Men,20,302.0
DORALL COLLECTION,Lancy,Praline,Jasmine,5,Men,35,194.0
Marc Jacobs,Daisy Eau So Fresh,Cedarwood,Violet,5,Men,34,98.0
BOUCHERON,Place Vendome,WhiteMusk,Rose,3,Women,39,195.0
Givenchy,Dahlia Divin Nude,Vanilla,Pine,3,Men,39,101.0
AMOUAGE,Epic,Jasmine,Tea,4,Women,39,237.0
S.T.Dupont,Passenger,GuaiacWood,Ginger,5,Men,29,83.0
AZZARO,Pour Homme,musk,Sandalwood,4,Men,33,233.0
BURBERRY,Brit Rhythm Intense,Leather,Mint,4,Women,26,282.0
NARCISO RODRIGUEZ,Narciso Rodriguez,Sandalwood,Musk,5,Men,33,67.0
PRIVE,Windsor,Blackberry,Magnalio,4,Women,24,59.0
Givenchy,Dahlia Divin Nude,Ginger,Pine,5,Women,27,18.0
Roberto Cavalli,Paradiso Assoluto,Sandalwood,WildJasmine,4,Women,21,309.0
Lattafa,Sheikh Shuyukh,Patchouli,Sage,5,Men,33,203.0
Mancera,Red Tobacco,Amber,Jasmine,5,Women,31,367.0
NINA RICCI,Premier Jour,Vanilla,Orchid,3,Women,35,228.0
KORLOFF,In White,Musk,Lavender,3,Women,30,354.0
VERSACE,Versace,InokiWood,Plum,4,Men,30,33.0
CAROLINA HERRERA,212 VIP,SaltyAmber,HotGinger,4,Women,24,394.0
DORALL COLLECTION,Simple,musk,freesia,3,Men,31,156.0
Ferrari,Man In Red,Cedar,YellowPlum,5,Men,29,41.0
Guerlain,L'Instant Magic,Wood,Rose,3,Women,40,209.0
LACOSTE,Touch Of Pink,Musk,Cardamom,4,Women,26,395.0
MONTBLANC,Emblem Absolu,Vetiver,Honey,3,Women,39,83.0
DORALL COLLECTION,DC Charged,CoconutSalt,FloralNotes,4,Men,34,180.0
Jacques Bogart,Silver Scent,Litchi,Lavender,5,Women,39,386.0
Fendi,Furiosa,Amber,Jasmine,5,Men,26,18.0
Ard Al Zaafaran,Oud 24 Hours,Agarwood(oud),Ylang-ylang,4,Men,21,250.0
PACO RABANNE,One Million,Amber,Cinnamon,3,Men,24,67.0
CARON,Pour Un Homme De Caron,Musk,Vanilla,3,Women,34,363.0
VERSACE,Crystal Noir,Musk,Peony,4,Women,35,124.0
DORALL COLLECTION,Eventful,Musk,Ylang-Ylang,3,Men,20,237.0
Bill Blass,Nude Natural Spray Colo,OrrisRoot,Jasmine,4,Men,40,159.0
GUESS,Marciano,Vanilla,Jasmine,4,Women,34,127.0
DAVIDOFF,Cool Water,Musk,Geranium,3,Women,26,270.0
Rasasi,Emotion,Sandalwood,Kiwi,5,Women,38,49.0
AMOUAGE,Interlude,AgarwoodSmoke,Frankincense,4,Women,32,85.0
S.T.Dupont,Passenger,Benzoin,Cardamom,3,Women,25,26.0
MONTBLANC,Legend Spirit,WhiteMusk,WaterNotes,3,Women,39,339.0
Dolce & Gabbana,The Only One 2,Tonka,Violet,3,Men,34,62.0
Lattafa,Rouat Al Musk,Vanilla,WhiteFlowers,3,Women,34,165.0
Dunhill,Desire Silver,Birch,WaterNotes,3,Men,34,96.0
Estee Lauder,Pleasures,Cedar,LilyOfTheValley,4,Women,40,134.0
CHANEL,Bleu De Chanel,Patchouli,Nutmeg,4,Men,35,128.0
Dolce & Gabbana,The One,Toacco,Ginger,5,Men,35,184.0
Dolce & Gabbana,The One,Moss,Lily,3,Women,24,188.0
DAVIDOFF,The Brilliant Game,SensualAddictionOfTheTonkaBeanNote,CharismaticVirilityOfACedarwood,4,Men,25,250.0
VERSACE,Dylan Blue,Incense,VioletLeaf,3,Men,27,357.0
Elizabeth Arden,Red Door,Honey,Lily-of-thevalley,3,Women,34,143.0
UNITED COLORS OF BENETTON,United Colors Of Benetton Hot,Sandalwood,Lily-Of-The-Valley,5,Women,34,174.0
Dunhill,Desire,Musk,TeakWood,4,Men,22,366.0
GUCCI,Flora,Sandalwood,Osmanthus,4,Men,28,157.0
AZZARO,Chrome Legend,TonkaBean,Vetiver,4,Women,39,117.0
Elizabeth Arden,Green Tea,Oakmoss,whiteFennel,4,Women,37,310.0
DKNY,Be Delicious Red,VanillaPod,Apple,3,Women,23,393.0
Guerlain,Ideal,Sandalwood,Vanilla,5,Men,27,296.0
Roberto Cavalli,Paradiso Azzurro,Sandalwood,Tuberose,4,Women,24,88.0
Alina Corel,Monsieur Coco Vanilla,WhiteMusk,TiareFlower,3,Women,31,110.0
DORALL COLLECTION,Eventful,Musk,Rose,5,Women,37,118.0
BVLGARI,Petits Et Mamans,Iris,Rose,5,Women,38,377.0
BURBERRY,For Women EDP Natural Sp,Musk,Cedar,5,Women,20,214.0
joop,Go,BalsamFir,Cypress,5,Men,31,338.0
Michael Kors,kors,Musk,Iris,5,Men,30,271.0
S.T.Dupont,Passenger Spray,Musk,Iris,3,Women,34,198.0
Lattafa,Rouat Al Oud,Musk,Cardamom,3,Women,38,382.0
NINA RICCI,Premier Jour,Musk,Orchid,5,Men,30,372.0
JOVAN,Musk Cologne Sp,Amber,Ylang-ylang,3,Women,30,241.0
Ajmal,Sacrifice,Woody,Floral,3,Women,31,319.0
PACO RABANNE,Olympêa,Ambergris,Vanilla,5,Women,21,179.0
BURBERRY,Touch,Almonds,LilyOfTheValley,4,Women,22,99.0
Calvin Klein,CK One,Sandalwood,Nutmeg,4,Men,33,260.0
LACOSTE,Essential,Sandalwood,Rose,4,Men,32,223.0
LALIQUE,Encre Noire,CashmereWood,BourbonVetiver,5,Women,24,1.0
Roberto Cavalli,Paradiso Assoluto,Sandalwood,WildJasmine,4,Men,32,287.0
CARON,De Caron,Musk,Vanille,4,Women,30,169.0
